13078010 46 16582 390 9663 27.25 28702 1.00 82356 1.00 17804 1.00 2060 149.88 34668 1.00 221 14987.81 273 1.00 2329 1.00 853 335181.88 0000000000000000 pp500_production_2012
13078011 47 16582 1153 48628 27.10 143897 1.00 406643 1.00 88414 1.00 10394 149.04 176727 1.00 1088 14904.29 1343 1.00 11230 1.00 4464 333314.00 0000000000000000 pp500_production_2012
13078012 48 16582 1227 48965 26.49 141357 1.00 406427 1.00 88669 1.00 10403 145.71 172249 1.00 1115 14570.97 1373 1.00 10985 1.00 4563 325860.00 0000000000000000 pp500_production_2012
13078014 49 16582 567 25565 25.86 72391 1.00 207334 1.00 44953 1.00 5480 142.25 88430 1.00 578 14225.20 716 1.00 5626 1.00 2386 318127.22 0000000000000000 pp500_production_2012
13078028 50 16586 1132 46836 49.99 252538 1.00 70836 10.00 156190 1.00 45007 54.99 281350 1.00 980 27494.19 1106 1.00 24865 1.00 3849 614870.12 0000000000000000 pp500_production_2012
13078035 51 16586 1418 71039 45.24 347639 1.00 100555 10.00 219589 1.00 66579 49.77 375989 1.00 1530 24883.39 1673 1.00 34708 1.00 5402 556483.00 0000000000000000 pp500_production_2012
13078036 52 16586 709 28832 51.59 160473 1.00 46830 10.00 101823 1.00 32940 47.29 175839 1.00 756 23645.97 833 1.00 15049 1.00 2696 528810.00 0000000000000000 pp500_production_2012
13078037 53 16586 430 14868 50.35 80348 1.00 23343 10.00 50631 1.00 17139 46.16 89199 1.00 390 23078.47 434 1.00 7613 1.00 1300 516118.59 0000000000000000 pp500_production_2012
13078039 54 16586 250 9064 48.77 47739 1.00 13953 10.00 30161 1.00 10381 44.70 52151 1.00 241 22352.10 254 1.00 4477 1.00 880 499874.25 0000000000000000 pp500_production_2012
13078040 55 16586 1173 49066 48.34 257468 1.00 75092 10.00 163864 1.00 56494 44.31 283340 1.00 1300 22157.25 1429 1.00 23805 1.00 4778 495516.56 0000000000000000 pp500_production_2012
13078041 56 16586 485 16717 47.14 85774 1.00 25116 10.00 54950 1.00 19234 43.21 94180 1.00 446 21604.81 482 1.00 7888 1.00 1647 483162.22 0000000000000000 pp500_production_2012
13078042 57 16586 684 27564 46.66 139866 1.00 40773 10.00 88908 1.00 31897 42.77 153864 1.00 733 21386.21 816 1.00 12660 1.00 2734 478273.44 0000000000000000 pp500_production_2012
