0 FMSsmall-BS3
1 FMSsmall-BS2
2 FMSsmall-BS1
3 FMSlarge-BS3
4 FMSlarge-BS2
5 FMSlarge-BS1
6 FMS-DiBS
7 FMS-JP2
8 FMS-JP1
9 FMS-JP0
10 FMS-DiJet
11 Unused
12 Unused
13 Unused
14 Unused
15 Unused
