0 BBC-TAC
1 BBC-E
2 BBC-W
3 ZDC-W
4 ZDC-W-Front
5 VPD-TAC3
6 ZDC-TAC
7 ZDC-E
8 Minimum-Bias
9 ZDC-E-Front
10 ZDC-E-Back
11 Unused
12 ZDC-W-Back
13 VPD-TAC
14 VPD-TAC2
15 VPD-COINC
