0 MTD_th1
1 MTD_th2
2 RP_ET
3 TOF_UPC
4 TOFmult0
5 TOFmult1
6 TOFmult2
7 TOFmult3
8 MTD-T-Cosmic
9 TOFsector0_3
10 TOFsector1_4
11 TOFsector2_5
12 RP_IT
13 RP_EOR
14 RP_WOR
15 MTD-Cosmic
