0 BemcHiTwr-th0
1 BemcHiTwr-th1
2 BemcHiTwr-th2
3 Bemc-HTTP
4 EemcHiTwr-th0
5 EemcHiTwr-th1
6 JP1
7 JP2
8 BJP1
9 BJP2
10 EJP1
11 EJP2
12 AJP
13 BAJP
14 EB2B
15 JP0
